image,status,success,gt_xyxy,pred_center,pred_xyxy,pred_conf,topk,hit_center
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151005.jpg,pred_ok,1,"34.0,475.0,1080.0,2128.0","542.7,1425.7","5.4,460.0,1080.0,2391.4",0.8662,1,"542.7,1425.7"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151009.jpg,pred_ok,1,"99.0,498.0,994.0,1926.0","565.0,1201.0","54.9,449.2,1075.1,1952.8",0.7410,1,"565.0,1201.0"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151014.jpg,pred_ok,1,"141.0,525.0,995.0,1820.0","663.8,1240.5","247.6,491.9,1080.0,1989.0",0.7522,1,"663.8,1240.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151018.jpg,pred_ok,1,"59.0,452.0,1044.0,2143.0","539.8,1381.5","4.8,368.9,1074.9,2394.1",0.9097,1,"539.8,1381.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151021.jpg,pred_ok,1,"124.0,506.0,1036.0,1963.0","550.5,1201.8","22.2,363.5,1078.7,2040.0",0.8018,1,"550.5,1201.8"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151024.jpg,pred_ok,1,"114.0,509.0,981.0,1778.0","564.1,1190.7","54.7,428.7,1073.4,1952.7",0.5061,1,"564.1,1190.7"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151028.jpg,pred_ok,1,"114.0,397.0,1047.0,2195.0","543.8,1380.2","9.0,409.2,1078.5,2351.2",0.9096,1,"543.8,1380.2"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151031.jpg,pred_ok,1,"142.0,421.0,1080.0,1912.0","538.8,1193.5","1.3,344.1,1076.4,2043.0",0.8769,1,"538.8,1193.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151034.jpg,pred_ok,1,"211.0,547.0,1057.0,1836.0","543.0,1078.0","7.3,130.0,1078.7,2025.9",0.8488,1,"543.0,1078.0"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151050.jpg,pred_ok,1,"98.0,688.0,1025.0,2133.0","537.9,1402.5","0.0,654.7,1075.8,2150.3",0.9186,1,"537.9,1402.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151052.jpg,pred_ok,1,"157.0,671.0,1042.0,2017.0","533.5,1356.6","0.0,682.0,1066.9,2031.1",0.9190,1,"533.5,1356.6"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151054.jpg,pred_ok,1,"216.0,681.0,1051.0,1808.0","537.3,1267.5","2.2,697.5,1072.4,1837.5",0.8963,1,"537.3,1267.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151059.jpg,pred_ok,1,"143.0,660.0,1036.0,2225.0","539.1,1407.1","0.0,437.2,1078.3,2377.0",0.9100,1,"539.1,1407.1"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151101.jpg,pred_ok,1,"227.0,605.0,949.0,2074.0","537.6,1201.5","0.0,360.4,1075.3,2042.6",0.9162,1,"537.6,1201.5"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151103.jpg,pred_ok,1,"292.0,597.0,925.0,1891.0","529.5,1186.1","0.0,524.4,1059.0,1847.8",0.8820,1,"529.5,1186.1"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151113.jpg,pred_ok,1,"85.0,388.0,993.0,2151.0","528.9,1216.2","0.0,245.1,1057.9,2187.4",0.8902,1,"528.9,1216.2"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151116.jpg,pred_ok,1,"204.0,475.0,947.0,1923.0","534.2,1076.0","0.7,218.0,1067.7,1934.1",0.8122,1,"534.2,1076.0"
/home/xy3371/Yolo/datasets/myar/images/Screenshot_2023-10-26_151118.jpg,pred_ok,1,"271.0,451.0,951.0,1761.0","530.1,1061.3","0.0,319.1,1060.2,1803.5",0.8951,1,"530.1,1061.3"
