image,status,success,gt_xyxy,pred_center,pred_xyxy,pred_conf,topk,hit_center
/home/xy3371/Yolo/datasets/myar/images/bedroom_low_small_indoor_20240504_193037_sample_3_t04.866s_01.jpg,pred_ok,0,"361.0,1494.0,579.0,1741.0","261.3,275.2","2.4,126.8,520.2,423.6",0.8610,1,NA
/home/xy3371/Yolo/datasets/myar/images/bedroom_low_small_indoor_20240504_193037_sample_4_t04.866s_01.jpg,pred_ok,0,"350.0,1572.0,554.0,1731.0","898.6,305.5","717.7,131.9,1079.6,479.0",0.4924,1,NA
/home/xy3371/Yolo/datasets/myar/images/bedroom_low_small_indoor_20240504_193037_sample_5_t04.866s_01.jpg,pred_ok,0,"688.0,1658.0,839.0,1848.0","1002.9,526.1","925.7,121.1,1080.0,931.2",0.1691,1,NA
/home/xy3371/Yolo/datasets/myar/images/bedroom_low_small_indoor_20240504_193037_sample_8_t04.866s_01.jpg,no_pred,0,"307.0,1392.0,551.0,1617.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/bedroom_low_small_indoor_20240504_193037_sample_9_t04.866s_01.jpg,pred_ok,1,"399.0,1081.0,653.0,1351.0","532.4,1222.8","446.6,1104.7,618.2,1340.9",0.6638,1,"532.4,1222.8"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_10_t04.866s_01.jpg,no_pred,0,"448.0,965.0,1080.0,2357.0",NA,NA,NA,1,NA
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_11_t04.866s_01.jpg,pred_ok,1,"156.0,814.0,1080.0,1775.0","602.4,1182.5","124.9,695.5,1080.0,1669.6",0.7894,1,"602.4,1182.5"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_12_t04.866s_01.jpg,pred_ok,1,"94.0,792.0,1080.0,1774.0","544.3,1090.2","8.8,480.2,1079.8,1700.2",0.4921,1,"544.3,1090.2"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_13_t04.866s_01.jpg,pred_ok,1,"51.0,761.0,1080.0,1771.0","102.1,803.6","0.0,304.3,204.2,1303.0",0.2141,1,"102.1,803.6"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_14_t03.093s_01.jpg,pred_ok,0,"18.0,960.0,1080.0,1809.0","992.4,925.8","904.9,398.9,1080.0,1452.8",0.0571,1,NA
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_5_t04.866s_01.jpg,pred_ok,1,"207.0,834.0,1080.0,1486.0","648.6,1142.8","217.2,830.5,1080.0,1455.2",0.9069,1,"648.6,1142.8"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_6_t04.866s_01.jpg,pred_ok,1,"301.0,857.0,942.0,1263.0","627.3,1065.0","320.0,870.2,934.7,1259.8",0.9344,1,"627.3,1065.0"
/home/xy3371/Yolo/datasets/myar/images/class_medium_big_indoor_20240504_185604_sample_7_t04.866s_01.jpg,pred_ok,1,"582.0,789.0,1080.0,1163.0","835.1,978.1","590.3,763.1,1080.0,1193.2",0.9109,1,"835.1,978.1"
